# Kranji hand-crafted glosses - partition 14 of 101
# Source: project-authored; no third-party licence
#
# One file for one file against kranji-gloss-seed, so a partition can be
# reviewed with both sides open. The cut is ZiPartition: codepoint modulo
# 101, computed from the CHARACTER, so all of a character's readings are
# in the same file.
#
# A row is one meaning of one reading. Priority is the rank within that
# reading, written out rather than left to row position - sorting this
# file in a spreadsheet would otherwise re-rank every meaning silently.
# Examples are phrase keys separated by |; a #n suffix names a phrase
# sense other than its first, and is silent otherwise.
#
# Rows: 11
# codepoint	glyph	reading	priority	meaning	examples	because
24456	很	hen3	P	very	很多|很好	
30011	画	hua4	P	to draw	画画|画蛇	
30011	画	hua4	S	a picture	图画	
20820	兔	tu4	P	a rabbit	兔子	
25163	手	shou3	P	a hand	手上	
23244	嫌	xian2	P	to mind; to dislike	嫌少	
21527	吗	ma0	P	(makes a question)	好吗|是吗	
21527	吗	ma2	P	(in 干吗) what for; why	干吗	
21527	吗	ma3	P	(in 吗啡) morphine	吗啡	
20315	佛	fu2	P	(in 仿佛) as if; as though	仿佛	
20315	佛	fo2	P	the Buddha; Buddhism	佛教|佛像	
