# Kranji hand-crafted glosses - partition 15 of 101
# Source: project-authored; no third-party licence
#
# One file for one file against kranji-gloss-seed, so a partition can be
# reviewed with both sides open. The cut is ZiPartition: codepoint modulo
# 101, computed from the CHARACTER, so all of a character's readings are
# in the same file.
#
# A row is one meaning of one reading. Priority is the rank within that
# reading, written out rather than left to row position - sorting this
# file in a spreadsheet would otherwise re-rank every meaning silently.
# Examples are phrase keys separated by |; a #n suffix names a phrase
# sense other than its first, and is silent otherwise.
#
# Rows: 19
# codepoint	glyph	reading	priority	meaning	examples	because
20013	中	zhong1	P	the middle	中间	
20013	中	zhong1	S	in; among	其中	
20013	中	zhong4	P	to hit the mark; to be struck by	打中|中奖	
26679	样	yang4	P	a kind	花样	
26679	样	yang4	S	a way	这样	
26376	月	yue4	P	the moon	月光	
26376	月	yue4	S	a month	二月	
38395	闻	wen2	P	to hear	听闻	
38395	闻	wen2	S	to smell	闻到	
25972	整	zheng3	P	whole	整个	
25972	整	zheng3	S	to tidy	整理	
22235	四	si4	P	four	四个	
20316	作	zuo4	P	to do; to make; to write	作业|作者|合作	
20316	作	zuo4	S	to act as; to pretend	装作	
20316	作	zuo1	P	(in 作坊) a workshop	作坊	
20215	价	jia4	P	a price; value	价格|价值	
20215	价	jie0	P	(a dialect suffix, in 震天价响)	震天价响	
21326	华	hua2	P	China; splendid	中华|华丽	
21326	华	hua4	P	(a surname; in 华山) Mount Hua	华山|华佗	
