# Kranji hand-crafted glosses - partition 19 of 101
# Source: project-authored; no third-party licence
#
# One file for one file against kranji-gloss-seed, so a partition can be
# reviewed with both sides open. The cut is ZiPartition: codepoint modulo
# 101, computed from the CHARACTER, so all of a character's readings are
# in the same file.
#
# A row is one meaning of one reading. Priority is the rank within that
# reading, written out rather than left to row position - sorting this
# file in a spreadsheet would otherwise re-rank every meaning silently.
# Examples are phrase keys separated by |; a #n suffix names a phrase
# sense other than its first, and is silent otherwise.
#
# Rows: 12
# codepoint	glyph	reading	priority	meaning	examples	because
20320	你	ni3	P	you	你们	
35874	谢	xie4	P	to thank	谢谢	
27491	正	zheng4	P	correct; right	正确|改正	
27491	正	zheng4	S	just now; in the middle of	正在	
27491	正	zheng1	P	(in 正月) the first month of the lunar year	正月	
32541	缝	feng4	P	a crack; a seam	裂缝|门缝	
32541	缝	feng2	P	to sew; to stitch	缝衣服|缝补	
20219	任	ren4	P	to appoint; a duty; to let	任务|责任	
20219	任	ren4	S	no matter; whatever	任何	
20219	任	ren2	P	(a surname; in 任丘) a county	任丘	
21128	劈	pi1	P	to chop; to split with an axe	劈柴|劈开	
21128	劈	pi3	P	to split apart; to strip off	劈叉|劈腿	
