# Kranji hand-crafted glosses - partition 50 of 101
# Source: project-authored; no third-party licence
#
# One file for one file against kranji-gloss-seed, so a partition can be
# reviewed with both sides open. The cut is ZiPartition: codepoint modulo
# 101, computed from the CHARACTER, so all of a character's readings are
# in the same file.
#
# A row is one meaning of one reading. Priority is the rank within that
# reading, written out rather than left to row position - sorting this
# file in a spreadsheet would otherwise re-rank every meaning silently.
# Examples are phrase keys separated by |; a #n suffix names a phrase
# sense other than its first, and is silent otherwise.
#
# Rows: 13
# codepoint	glyph	reading	priority	meaning	examples	because
37117	都	dou1	P	all; both	都是	
20250	会	hui4	P	can; to know how	学会	
36208	走	zou3	P	to walk; to go	走开	
38632	雨	yu3	P	rain	下雨	
20351	使	shi3	P	to make; to use	使用	
25300	拔	ba2	P	to pull out	拔苗	
22068	嘴	zui3	P	a mouth	张嘴	
35299	解	jie3	P	to untie; to solve; to explain	解释|解开|了解	
35299	解	jie4	P	to escort under guard	押解	
35299	解	xie4	P	(in 解数) skill; tricks	解数	
37319	采	cai3	P	to pick; to gather	采花|采集	
37319	采	cai3	S	spirit; expression	神采	
37319	采	cai4	P	(in 采地) a fief	采地	
